10, 8, 30, 12, 15
25, 11, 45, 15, 30
4, 14, 20, 17, 55
38, 16, 10, 19, 40
29, 9, 15, 11, 25
5, 18, 30, 21, 15
33, 7, 50, 10, 45
21, 22, 10, 1, 35
45, 10, 25, 14, 50
2, 5, 55, 8, 20
8, 12, 45, 15, 0
40, 19, 20, 23, 5
16, 14, 35, 18, 45
31, 6, 15, 9, 30
22, 21, 30, 3, 55
48, 16, 55, 20, 40
9, 23, 20, 4, 10
37, 8, 40, 11, 55
18, 11, 5, 2, 15
3, 4, 20, 7, 30
27, 13, 55, 17, 10
43, 17, 45, 22, 0
6, 22, 30, 1, 20
42, 20, 15, 5, 35
15, 12, 10, 6, 45
36, 5, 25, 9, 50
20, 19, 40, 2, 5
26, 6, 55, 20, 20
49, 14, 20, 4, 35
13, 16, 35, 19, 45
46, 23, 5, 0, 30
11, 18, 15, 22, 45
34, 7, 30, 12, 5
23, 10, 45, 16, 10
7, 15, 50, 6, 0
41, 20, 40, 9, 15
14, 17, 20, 23, 25
28, 9, 35, 13, 40
50, 6, 50, 18, 30
19, 21, 15, 8, 5
24, 11, 25, 7, 20
44, 18, 45, 10, 35
56, 8, 20, 15, 45
51, 14, 55, 20, 0
